nome,orari,typeIt,typeEn,latitudine,longitudine
Corno Nero 1 arrivo,08.30 - 16.15,Sciovia,Skilift,46.34070064561002,11.45459798172601
Corno Nero 2 partenza,08.30 - 16.15,Sciovia,Skilift,46.34630734528447,11.454308303152402
Corno Nero 2 arrivo,08.30 - 16.15,Sciovia,Skilift,46.34070064561002,11.45459798172601
Castellazzo partenza,08.30 - 16.30,Seggiovia,Chairlift,46.30132646491292,11.786655457769712
Castellazzo arrivo,08.30 - 16.30,Seggiovia,Chairlift,46.30344630865396,11.798006566320737
Paradiso partenza,08.30 - 16.30,Seggiovia,Chairlift,46.29303901545429,11.778394254003842
Paradiso arrivo,08.30 - 16.30,Seggiovia,Chairlift,46.28756772203374,11.78521779373773
Cimon partenza,08.30 - 16.30,Seggiovia,Chairlift,46.295500177886986,11.782514127050717
Cimon arrivo,08.30 - 16.30,Seggiovia,Chairlift,46.29532226623927,11.788436
Ferrari partenza,08.30 - 16.30,Seggiovia,Chairlift,46.29274248239417,11.77944567993768
Ferrari arrivo,08.30 - 16.30,Seggiovia,Chairlift,46.294002736811564,11.787985833441098
Rolle partenza,08.30 - 16.30,Sciovia,Skilift,46.297501644095746,11.777750523840268
Rolle arrivo,08.30 - 16.30,Sciovia,Skilift,46.298450461774884,11.78646233872064
